,4/3/24 09:31:29,STOCK,SELL,-20,TO OPEN,TSLA,,,STOCK,168.44,168.44,LMT\
,4/3/24 09:26:52,STOCK,BUY,+5,TO CLOSE,TSLA,,,STOCK,167.855,167.856,STP\
,4/3/24 09:26:52,STOCK,BUY,+15,TO CLOSE,TSLA,,,STOCK,167.85,167.85,STP\
,4/3/24 09:19:36,STOCK,BUY,+20,TO CLOSE,MU,,,STOCK,126.75,126.75,STP\
,4/3/24 09:16:22,STOCK,SELL,-20,TO OPEN,MU,,,STOCK,126.49,126.49,LMT\
,4/3/24 09:10:10,STOCK,SELL,-20,TO OPEN,TSLA,,,STOCK,167.49,167.49,LMT\
,4/3/24 09:03:45,STOCK,SELL,-100,TO CLOSE,ATAI,,,STOCK,2.28,2.28,STP\
,4/3/24 08:59:29,STOCK,BUY,+100,TO OPEN,ATAI,,,STOCK,2.3679,2.3679,MKT\
,4/3/24 07:57:05,STOCK,BUY,+20,TO CLOSE,TSLA,,,STOCK,167.32,167.32,STP\
,4/3/24 07:55:49,STOCK,SELL,-20,TO OPEN,TSLA,,,STOCK,166.98,166.98,LMT\
,4/3/24 07:50:57,STOCK,SELL,-20,TO CLOSE,TSLA,,,STOCK,166.81,166.81,STP\
,4/3/24 07:49:35,STOCK,BUY,+16,TO OPEN,TSLA,,,STOCK,166.85,166.85,LMT\
,4/3/24 07:49:34,STOCK,BUY,+4,TO OPEN,TSLA,,,STOCK,166.85,166.85,LMT\
,4/3/24 07:36:11,STOCK,BUY,+20,TO CLOSE,TSLA,,,STOCK,167.22,167.22,STP\
,4/3/24 07:35:31,STOCK,SELL,-20,TO OPEN,TSLA,,,STOCK,166.97,166.97,LMT\
,4/3/24 07:34:26,STOCK,SELL,-20,TO CLOSE,TSLA,,,STOCK,167.18,167.18,STP\
,4/3/24 07:29:49,STOCK,BUY,+20,TO OPEN,TSLA,,,STOCK,167.20,167.20,LMT\
,4/3/24 07:15:32,STOCK,BUY,+20,TO CLOSE,TSLA,,,STOCK,165.729,165.729,STP\
,4/3/24 07:15:15,STOCK,SELL,-20,TO OPEN,TSLA,,,STOCK,165.59,165.59,LMT\
,4/3/24 07:13:13,STOCK,BUY,+20,TO CLOSE,TSLA,,,STOCK,164.96,164.96,STP\
,4/3/24 07:05:18,STOCK,SELL,-20,TO OPEN,TSLA,,,STOCK,165.60,165.60,LMT\
